ISIN;VALID_DATE;TYPE;DATETIME;CASHFLOW;VALUE
CH0205819433;27.05.2018;BOND;26.02.2014;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2015;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2016;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2017;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2018;COUPON;2,177
CH0205819433;27.05.2018;BOND;26.02.2018;REDEMPTION;5000
CH0205819441;27.05.2018;BOND;26.02.2014;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2015;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2016;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2017;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2018;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2019;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2020;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2021;COUPON;2,73
CH0205819441;27.05.2018;BOND;26.02.2021;REDEMPTION;5000
CH0317921671;27.05.2018;BOND;30.11.2016;COUPON;3,375
CH0317921671;27.05.2018;BOND;30.11.2017;COUPON;3,375
CH0317921671;27.05.2018;BOND;30.11.2018;COUPON;3,375
CH0317921671;27.05.2018;BOND;30.11.2018;REDEMPTION;5000
CH0346828400;27.05.2018;BOND;30.11.2017;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2018;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2019;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2020;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2021;COUPON;2,75
CH0346828400;27.05.2018;BOND;30.11.2021;REDEMPTION;5000
CH0379268748;27.05.2018;BOND;02.10.2018;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2019;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2020;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2021;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2022;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2023;COUPON;2,1
CH0379268748;27.05.2018;BOND;02.10.2023;REDEMPTION;5000
RU0002867631;27.05.2018;BOND;10.01.2018;COUPON;
RU0002867631;27.05.2018;BOND;09.01.2019;COUPON;
RU0002867631;27.05.2018;BOND;10.01.2018;REDEMPTION;700
RU0002867631;27.05.2018;BOND;09.01.2019;REDEMPTION;300
RU0002867854;27.05.2018;BOND;17.09.2003;COUPON;0
RU0002867854;27.05.2018;BOND;15.09.2004;COUPON;0
RU0002867854;27.05.2018;BOND;14.09.2005;COUPON;0
RU0002867854;27.05.2018;BOND;13.09.2006;COUPON;0
RU0002867854;27.05.2018;BOND;12.09.2007;COUPON;0
RU0002867854;27.05.2018;BOND;10.09.2008;COUPON;0
RU0002867854;27.05.2018;BOND;09.09.2009;COUPON;0
RU0002867854;27.05.2018;BOND;08.09.2010;COUPON;0
RU0002867854;27.05.2018;BOND;07.09.2011;COUPON;0
RU0002867854;27.05.2018;BOND;05.09.2012;COUPON;0
RU0002867854;27.05.2018;BOND;04.09.2013;COUPON;10
RU0002867854;27.05.2018;BOND;03.09.2014;COUPON;10
RU0002867854;27.05.2018;BOND;02.09.2015;COUPON;10
RU0002867854;27.05.2018;BOND;31.08.2016;COUPON;10
RU0002867854;27.05.2018;BOND;30.08.2017;COUPON;10
RU0002867854;27.05.2018;BOND;29.08.2018;COUPON;10
RU0002867854;27.05.2018;BOND;28.08.2019;COUPON;10
RU0002867854;27.05.2018;BOND;26.08.2020;COUPON;10
RU0002867854;27.05.2018;BOND;25.08.2021;COUPON;10
RU0002867854;27.05.2018;BOND;24.08.2022;COUPON;10
RU0002867854;27.05.2018;BOND;23.08.2023;COUPON;10
RU0002867854;27.05.2018;BOND;21.08.2024;COUPON;10
RU0002867854;27.05.2018;BOND;20.08.2025;COUPON;10
